Protein,Mode,Curators
BCL2L1,simple_mode,"Elena Papaleo (DCRC, Denmark, DTU, Denmark)"
KRAS,simple_mode,"Elena Papaleo (DCRC, Denmark, DTU, Denmark)"
MLH1,simple_mode,"Ludovica Beltrame (DTU, Denmark)"
ULK1,simple_mode,"Mattia Utichi (DCRC, Denmark, DTU, Denmark)"
BLM,simple_mode,"Matteo Arnaudi (DCRC, Denmark, DTU, Denmark)"
ARID3A,simple_mode,"Elena Papaleo (DCRC, Denmark, DTU, Denmark)"
MAP1LC3B,simple_mode,"Elena Papaleo (DCRC, Denmark, DTU, Denmark)"
PPIA,simple_mode,"Elena Papaleo (DCRC, Denmark, DTU, Denmark)"
TRAP1,simple_mode,"Matteo Lambrughi (DCRC, Denmark)"
BCL2,simple_mode,"Elena Papaleo (DCRC, Denmark, DTU, Denmark)"
